customerId,transactionDate,productId,quantity,retailPrice,transactionId,markUp,orderStatus
857,15-03-2013,503,2,240.0,1,12.0,cancelled
406,13-03-2013,930,2,220.0,2,11.0,cancelled
205,30-06-2007,238,3,330.0,3,11.0,shipped
667,15-02-2008,627,3,165.0,4,11.0,shipped
895,10-03-2007,241,3,310.5,5,11.5,cancelled
130,29-09-2013,620,3,198.0,6,11.0,cancelled
34,08-10-2010,642,1,80.5,7,11.5,cancelled
44,04-07-2008,706,2,130.0,8,13.0,cancelled
516,05-01-2013,453,1,92.0,9,11.5,shipped
193,08-03-2012,605,3,300.0,10,12.5,cancelled
621,29-07-2013,634,2,230.0,11,11.5,shipped
461,07-09-2007,821,1,57.5,12,11.5,shipped
335,09-01-2011,932,2,132.0,13,11.0,cancelled
725,22-10-2012,177,2,168.0,14,12.0,shipped
671,22-08-2011,341,4,300.0,15,12.5,cancelled
498,02-06-2013,969,1,99.0,16,11.0,cancelled
547,18-10-2009,272,3,165.0,17,11.0,cancelled
977,12-04-2012,992,4,288.0,18,12.0,shipped
978,02-01-2010,793,4,300.0,19,12.5,shipped
397,30-07-2012,891,1,66.0,20,11.0,cancelled
638,27-02-2014,525,3,172.5,21,11.5,shipped
871,20-10-2008,567,1,87.5,22,12.5,cancelled
73,12-08-2010,48,3,330.0,23,11.0,cancelled
105,29-09-2007,606,4,308.0,24,11.0,shipped
94,10-01-2011,917,4,500.0,25,12.5,shipped
665,04-11-2007,966,1,99.0,26,11.0,cancelled
137,04-03-2012,628,4,288.0,27,12.0,cancelled
694,11-10-2007,377,4,220.0,28,11.0,shipped
631,26-11-2013,138,3,262.5,29,12.5,shipped
250,15-04-2013,188,2,230.0,30,11.5,cancelled
653,05-04-2011,783,3,195.0,31,13.0,cancelled
664,05-02-2013,633,2,220.0,32,11.0,cancelled
409,19-01-2014,693,1,84.0,33,12.0,shipped
584,09-10-2007,734,3,351.0,34,13.0,cancelled
321,01-04-2008,58,4,396.0,35,11.0,shipped
621,15-03-2014,319,2,234.0,36,13.0,cancelled
764,06-07-2012,823,3,207.0,37,11.5,shipped
741,02-05-2007,872,1,69.0,38,11.5,cancelled
726,01-02-2007,688,3,375.0,39,12.5,shipped
834,25-01-2007,195,1,87.5,40,12.5,cancelled
939,24-09-2010,486,4,250.0,41,12.5,cancelled
100,25-11-2008,94,2,138.0,42,11.5,shipped
257,23-06-2012,301,2,240.0,43,12.0,shipped
177,08-01-2007,576,3,187.5,44,12.5,shipped
318,24-11-2007,915,4,416.0,45,13.0,cancelled
161,27-02-2012,263,2,184.0,46,11.5,shipped
783,01-07-2013,443,2,144.0,47,12.0,cancelled
939,27-10-2012,11,4,396.0,48,11.0,cancelled
667,30-09-2008,234,4,416.0,49,13.0,shipped
484,08-04-2008,948,4,300.0,50,12.5,shipped
580,12-02-2009,414,2,260.0,51,13.0,cancelled
25,06-08-2013,403,2,154.0,52,11.0,cancelled
874,22-06-2008,640,2,144.0,53,12.0,cancelled
263,29-05-2013,456,2,168.0,54,12.0,shipped
16,09-09-2012,929,2,230.0,55,11.5,cancelled
25,03-10-2012,74,4,352.0,56,11.0,cancelled
698,22-04-2010,659,2,168.0,57,12.0,cancelled
30,03-11-2009,55,3,288.0,58,12.0,cancelled
483,13-06-2009,84,3,264.0,59,11.0,cancelled
671,21-03-2013,266,3,330.0,60,11.0,cancelled
18,15-10-2012,961,1,100.0,61,12.5,cancelled
977,14-04-2013,880,2,115.0,62,11.5,shipped
92,21-07-2011,147,3,310.5,63,11.5,cancelled
164,09-03-2012,592,2,192.0,64,12.0,cancelled
90,06-07-2007,244,4,250.0,65,12.5,cancelled
425,07-11-2010,44,3,276.0,66,11.5,shipped
612,30-03-2014,664,1,120.0,67,12.0,shipped
891,20-02-2009,918,1,80.5,68,11.5,cancelled
304,23-03-2013,686,3,195.0,69,13.0,cancelled
902,19-05-2010,429,1,99.0,70,11.0,cancelled
175,30-06-2012,378,1,104.0,71,13.0,cancelled
10,16-07-2008,192,3,288.0,72,12.0,cancelled
948,28-03-2009,459,4,276.0,73,11.5,shipped
367,30-03-2012,674,3,225.0,74,12.5,cancelled
221,29-09-2007,467,2,125.0,75,12.5,cancelled
418,10-07-2013,717,2,230.0,76,11.5,cancelled
472,23-12-2008,816,3,345.0,77,11.5,cancelled
50,19-01-2011,850,1,92.0,78,11.5,shipped
207,12-05-2008,601,4,416.0,79,13.0,cancelled
604,20-04-2014,358,2,175.0,80,12.5,shipped
760,29-07-2010,239,1,62.5,81,12.5,shipped
431,16-09-2008,335,4,352.0,82,11.0,cancelled
566,25-10-2012,306,3,360.0,83,12.0,shipped
869,09-01-2012,198,4,276.0,84,11.5,shipped
903,28-06-2013,153,4,350.0,85,12.5,shipped
839,20-12-2012,372,1,99.0,86,11.0,shipped
423,01-11-2008,158,4,352.0,87,11.0,cancelled
435,10-09-2007,131,2,200.0,88,12.5,shipped
979,25-07-2008,712,1,117.0,89,13.0,shipped
